video_name,frame,actor_track_id,xml_track_id,position,team_side,action,xtl,ytl,xbr,ybr,w,h,source
BootPass_43,0,0,0,Position_Unknown,Team_Unknown,Action_PreSnap,598.7,786.55,681.68,881.61,82.9799999999999,95.06000000000006,xml_geometry_csv_action
BootPass_43,0,1,1,Position_Unknown,Team_Unknown,Action_PreSnap,678.38,560.55,754.37,654.84,75.99000000000001,94.29000000000008,xml_geometry_csv_action
BootPass_43,0,10,10,Position_Unknown,Team_Unknown,Action_PreSnap,801.14,395.22,867.95,461.27,66.81000000000006,66.04999999999995,xml_geometry_csv_action
BootPass_43,0,11,11,Position_Unknown,Team_Unknown,Action_PreSnap,945.04,299.21,989.99,387.91,44.950000000000045,88.70000000000005,xml_geometry_csv_action
BootPass_43,0,12,12,Position_Unknown,Team_Unknown,Action_PreSnap,1074.92,159.51,1114.11,249.48,39.18999999999983,89.97,xml_geometry_csv_action
BootPass_43,0,13,13,Position_Unknown,Team_Unknown,Action_PreSnap,558.99,293.13,602.43,395.12,43.43999999999994,101.99000000000001,xml_geometry_csv_action
BootPass_43,0,14,14,Position_Unknown,Team_Unknown,Action_PreSnap,829.1,236.84,895.3,306.26,66.19999999999993,69.41999999999999,xml_geometry_csv_action
BootPass_43,0,15,15,Position_Unknown,Team_Unknown,Action_PreSnap,740.44,341.92,795.9,399.43,55.45999999999992,57.50999999999999,xml_geometry_csv_action
BootPass_43,0,16,16,Position_Unknown,Team_Unknown,Action_PreSnap,809.24,348.98,871.22,406.53,61.98000000000002,57.549999999999955,xml_geometry_csv_action
BootPass_43,0,17,17,Position_Unknown,Team_Unknown,Action_PreSnap,813.42,296.38,878.15,355.75,64.73000000000002,59.370000000000005,xml_geometry_csv_action
BootPass_43,0,18,18,Position_Unknown,Team_Unknown,Action_PreSnap,710.21,387.08,766.72,454.84,56.50999999999999,67.75999999999999,xml_geometry_csv_action
BootPass_43,0,19,19,Position_Unknown,Team_Unknown,Action_PreSnap,732.51,313.42,788.37,357.46,55.860000000000014,44.039999999999964,xml_geometry_csv_action
BootPass_43,0,2,2,Position_Unknown,Team_Unknown,Action_PreSnap,1137.59,833.22,1192.75,935.34,55.16000000000008,102.12,xml_geometry_csv_action
BootPass_43,0,20,20,Position_Unknown,Team_Unknown,Action_PreSnap,731.5,277.66,788.89,325.8,57.389999999999986,48.139999999999986,xml_geometry_csv_action
BootPass_43,0,21,21,Position_Unknown,Team_Unknown,Action_PreSnap,714.75,366.45,769.31,414.06,54.559999999999945,47.610000000000014,xml_geometry_csv_action
BootPass_43,0,3,3,Position_Unknown,Team_Unknown,Action_PreSnap,751.45,152.34,820.4,236.84,68.94999999999993,84.5,xml_geometry_csv_action
BootPass_43,0,4,4,Position_Unknown,Team_Unknown,Action_PreSnap,1044.52,557.98,1092.2,653.97,47.680000000000064,95.99000000000001,xml_geometry_csv_action
BootPass_43,0,5,5,Position_Unknown,Team_Unknown,Action_PreSnap,478.14,334.67,528.49,425.54,50.35000000000002,90.87,xml_geometry_csv_action
BootPass_43,0,6,6,Position_Unknown,Team_Unknown,Action_PreSnap,931.04,361.87,980.06,447.78,49.01999999999998,85.90999999999997,xml_geometry_csv_action
BootPass_43,0,7,7,Position_Unknown,Team_Unknown,Action_PreSnap,1338.04,520.72,1379.43,626.32,41.3900000000001,105.60000000000002,xml_geometry_csv_action
BootPass_43,0,8,8,Position_Unknown,Team_Unknown,Action_PreSnap,664.53,384.89,715.91,471.91,51.379999999999995,87.02000000000004,xml_geometry_csv_action
BootPass_43,0,9,9,Position_Unknown,Team_Unknown,Action_PreSnap,1339.84,289.53,1383.48,382.57,43.6400000000001,93.04000000000002,xml_geometry_csv_action
