video_name,video_id,source_column,action,start_frame,actor_track_id,target_kind,play_tag,result_tag,result_frame,notes
JetSweep_1,1,End of Play,Action_PlayEnd,0,,global_event,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,0,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,11,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,12,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,14,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,29,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,3,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,4,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,5,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,8,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Pre Snap_group_ALL,Action_PreSnap,0,9,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Jet Motion,Action_JetMotion,96,19,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Ball Snap,Action_BallSnap,132,7,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Lead Block,Action_LeadBlock,133,12,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Zone Block_group_OL,Action_ZoneBlock,133,29,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Zone Block_group_OL,Action_ZoneBlock,133,3,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Zone Block_group_OL,Action_ZoneBlock,133,5,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Zone Block_group_OL,Action_ZoneBlock,133,8,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Snap Receive,Action_SnapReceive,144,17,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Toss,Action_Toss,145,17,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Ball Carry,Action_BallCarry,160,19,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,Block Second Level,Action_BlockSecondLevel,165,13,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,End of OL Block_group_OL,Action_None,192,29,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,End of OL Block_group_OL,Action_None,192,3,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,End of OL Block_group_OL,Action_None,192,5,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
JetSweep_1,1,End of OL Block_group_OL,Action_None,192,8,track_id,Play_Run_JetSweep,Result_OutOfBounds,,
