video_name,video_id,source_column,action,start_frame,annotated_frame_role,actor_track_id,target_kind,play_tag,result_tag,result_frame,notes
BootPass_1,1,End of Play,Action_PlayEnd,0,BOUNDARY,,global_event,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,0,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,1,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,13,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,15,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,17,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,18,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,20,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,3,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,4,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Pre Snap_group_ALL,Action_PreSnap,0,START,7,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Run Block_group_OL,Action_RunBlock,77,START,13,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Run Block_group_OL,Action_RunBlock,77,START,15,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Run Block_group_OL,Action_RunBlock,77,START,17,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Run Block_group_OL,Action_RunBlock,77,START,20,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Snap Receive,Action_SnapReceive,86,END,4,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Fake Handoff,Action_FakeHandoff,98,START,4,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Boot Away,Action_BootAway,111,START,4,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Run Flat Route,Action_RunFlatRoute,116,START,1,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Throw Pass,Action_ThrowPass,162,START,4,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
BootPass_1,1,Secure Catch,Action_SecureCatch,226,START,3,track_id,Play_Pass_BootPass,Result_OutOfBounds,,
