Video Name:,InsideZoneStretch,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,
1,"QB,15","RB,3","WR1,6","WR2,0","LT,16","LG,[?]","C,13","RG,20","RT,[?]","TE1,18","TE2,12"
1,"DE1,11","DT1,19","DT2,14","DE2,17","OLB1,5","OLB2,8","LB1,7","LB2,10","CB1,1","CB2,2","SAF,4"
2,"QB,10","RB,8","LT,7","LG,13","C,10","RG,5","RT,6","TE,21",,,
2,"DE1,3","DT1,15","DT2,14","DE2,12","OLB1,4","OLB2,9","LB1,0","LB2,11",,,
3,"QB,15","RB,7","WR1,0","WR2,9","LT,19","LG,16","C,18","RG,20","RT,21","TE1,1","TE2,17"
3,"DE1,1","DT1,3","DT2,4","DE2,12","LB1,6","LB2,14","SAF,13","CB1,10","CB2,12","SAF1,8","SAF2,5"
4,"QB,2","RB,3","LT,10","LG,6","C,3","RG,8","RT,4","TE1,11","TE2,5",,
4,"DE1,15","DT1,13","DT2,14","DE2,12","LB1,1","LB2,9","CB,6","SAF1,0","SAF2,7",,
5,"QB,16","RB,7","WR1,0","WR2,1","LT,9","LG,12","C,17","RG,19","RT,20","TE,13",
5,"DE1,5","DT1,8","DT2,14","DE2,13","OLB,11","LB1,6","LB2,15","CB1,2","CB2,10","SAF1,8","SAF2,4"
6,"QB,14","RB,13","LT,15","LG,16","C,12","RG,0","RT,8","TE,9",,,
6,"DE1,10","DT1,4","DT2,7","DE2,11","OLB,2","LB1,3","LB2,6","SAF1,5","SAF2,1",,
