Video Name:,Hitch9to15,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,
1,"QB,10","LT,1","LG,8","C,14","RG,2","RT,8","TE1,0","TE2,5",,,,
1,"DE1,6","DT1,12","DT2,15","DE2,9","LB1,13","LB2,11","CB1,4","CB2,7",,,,
2,"QB,0","RB,3","WR1,1","WR2,4","LT,16","LG,21","C,10","RG,15","RT,20","TE1,11","TE2,6",
2,"DE1,9","DT1,5","DT2,13","DE2,12","LB1,8","LB2,2","SAF,17","CB1,14","CB2,18","CB3,19","SAF,7",
4,"QB,19","RB,3","WR1,1","WR2,3","WR3,5","WR4,7","LT,16","LG,17","C,15","RG,21","RT,20",
4,"DE1,10","DT,18","DE2,0","OLB1,6","OLB2,2","LB1,14","LB2,9","CB1,8","CB2,12","SAF1,11","SAF2,14",
5,"QB,8","RB,9","WR1,13","WR2,6","WR3,5","LT,17","LG,4","C,14","RG,10","RT,12",,
5,"DE1,16","DT,7","DE2,18","OLB1,0","OLB2,15","LB1,1","LB2,11","SAF1,3","SAF2,2",,,
6,"QB,15","RB,18","WR1,1","WR2,2","WR3,0","WR4,13","LT,10","LG,20","C,19","RG,16","RT,14",
6,"DE1,17","DT1,7","DT2,8","DT3,9","DE2,21","LB,11","CB1,3","CB2,6","CB3,4","CB4,12","SAF,5",
8,"QB,7","RB,12","WR1,0","WR2,1","WR3,6","LT,8","LG,20","C,19","RG,16","RT,18","TE,[?]",
8,"DE1,17","DT,13","DE2,11","OLB1,3","OLB2,9","LB,4","CB1,2","CB2,8","CB3,15","CB4,14","SAF,10",
9,"QB,11","RB,14","WR,8","LT,3","LG,0","C,16","RG,1","RT,12","TE,10",,,
9,"DE1,9","DT,13","DE2,4","OLB1,5","OLB2,2","LB,7","CB,6","SAF,15",,,,
10,"QB,7","RB,5","WR1,1","WR2,3","WR3,0","LT,7","LG,10","C,8","RG,11","RT,21","TE,2",
10,"DE1,17","DT1,15","DT2,14","DE2,8","LB1,12","LB2,13","CB,18","SAF1,1","SAF2,19","SAF3,20","SAF4,16",
12,"QB,13","RB,6","WR1,9","WR2,1","WR3,20","LT,5","LG,21","C,16","RG,14","RT,17","TE,18",
12,"DE1,3","DT1,0","DT2,12","DE2,19","LB1,2","LB2,11","SAF,4","CB1,15","CB2,10","CB3,19","CB4,7","SAF,8"
14,"QB,3","RB,5","WR1,4","WR2,1","WR3,0","LT,17","LG,21","C,14","RG,8","RT,11","TE,13",
14,"DE1,19","DT1,18","DT2,20","DE2,15","LB1,16","LB2,10","CB1,12","CB2,6","CB3,2","SAF1,9","SAF2,7",
16,"QB,14","RB,13","WR1,4","WR2,3","WR3,1","WR4,0","LT,22","LG,20","C,18","RG,21","RT,17",
