Video Name:,JetSweep_,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,
1,"QB,17","RB,20","WR,19","WR,1","LT,5","LG,3","C,7","RG,9","RT,13","TE,12","WR,21"
1,"FS,2","RCB,16","SS,11","CB,14","CB,22","SLB,15","MLB,10","WLB,18","DE,6","DT,4","DE,8"
2,"QB,11","RB,?","WR,5","WR,6","LT,12","LG,21","C,13","RG,9","RT,14","TE,15",
2,"DE,8","DT,?","DE,16","LB,10","LB,7","CB,1","CB,3","FS,2","SS,4",,
3,"QB,20","RB,17","WR,18","WR,5","LT,4","LG,15","C,16","RG,19","RT,21","TE,13","WR,1"
3,"SAF,7","SAF,8","CB,10","CB,3","CB,14","LB,12","LB,6","DE,9","DT,2","DT,22","DE,11"
4,"QB,10","RB,6","LT,3","LG,2","C,19","RG,9","RT,11","TE,4","WR,15","WR,29",
4,"CB,5","SAF,12","LB,7","CB,1","DE,8","DT-1,13","DE,17","DT,23",,,
5,"QB,8","RB,5","WR,1","RT,3","RG,12","C,22","RG,21","RT,19","TE,20","TE,18","WR,4"
5,"SAF,16","SAF,14","LB,2","LB,9","CB,15","LDE,6","DT,10","DT,7","DE,17","CB,13","CB,21"
6,"QB,14","RB,11","RT,9","RG,11","C,14","LG,18","LT,10","TE,13","TE,7","WR,19",
6,"SAF,1","SAF,5","LB,3","LB,2","LDE,6","DT,20","DT-1,12","RDE,8","CB,4",,
7,"QB,7","RB,1","WR,3","WR,4","RT,18","RG,17","C,16","LG,21","LT,21","TE,12","WR,2"
7,"FS,8","SS,9","CB,11","LB,13","CB,5","CB,10","DE,14","DT,[?]","DT,22","DE,15","CB,6"
8,"QB,7","RT,14","RG,10","C,13","LG,12","LT,2","TE,4","WR,15",,,
8,"LB,6","DE,5","DT,3","LB,8","DT,9","DE,11","CB,1",,,,
9,"QB,22","RB,14","WR,16","WR,1","WR,2","LT,15","LG,20","C,21","RG,10","RT,19","TE,17"
9,"SAF,5","SAF,3","CB,8","LB,7","LB,9","LB,6","DE,4","DT,13","DE,12","CB,18","CB,11"
10,"QB,8","RB,4","LT,2","LG,10","C,13","RG,5","RT,7","TE,6","WR,15",,
10,"SAF,11","LB,9","LB,1","DE,3","DT,14","DE,12",,,,,
11,"QB,11","RB,4","WR,2","TE,6","LT,21","LG,22","C,18","RG,17","RT,5","WR,7","WR,1"
11,"SS,13","FS,3","LB,14","LB,19","CB,10","CB,2","DE,9","DT,15","DT,20","DE,16","CB,8"
12,"QB,14","RB,15","RT,11","RG,6","C,16","RG,3","RT,10","TE,7","WR,13",,
12,"SS,4","LB,5","LB,2","DE,9","DT,8","DT,[?]","DE,1",,,,
13,"QB,17","RB,12","WR,1","TE,2","RT,15","RG,22","C,19","LG,21","LT,20","WR,5","WR,4"
13,"SS,8","FS,13","LB,9","LB,11","CB,3","DE,10","DT,7","DT,6","DE,16","CB,14","CB,18"
14,"QB,13","LT,10","LG,7","C,17","RG,6","RT,12","TE,5","WR,16",,,
14,"SS,1","LB,3","LB,4","DE,2","DT,9","DT,8","DE,11","CB,15",,,
15,"QB,8","RB,3","WR,1","WR,5","LT,20","LG,18","C,7","RG,22","LT,19","TE,6","TE,2"
15,"FS,13","SS,11","CB,10","LB,14","LB,15","CB,9","CB,6","DE,17","DT,21","DT,12","DE,4"
16,"QB,13","RB,4","LT,2","LG,6","C,18","RG,1","RT,11","TE,8","TE,3","WR,19",
16,"FS,10","SS,7","LB,15","LB,9","LB,5","DT,17","DE,16","DT,14","DE,12",,
17,"QB,8","RB,14","WR,1","WR,3","LT,9","RT,21","LG,15","C,20","LG,22","TE,16","TE,10"
17,"FS,4","SS,19","LB,11","LB,7","CB,5","CB,6","DE,2","DT,18","DT,17","DE,12","CB,13"
18,"QB,11","RB,7","TE,1","TE,4","LT,3","C,1","LG,2","RT,10","LT,12",,
18,"SS,5","CB,8","DE,9","DT,13","LB,14","RT,6","DE,[?]","LB,[?]",,,
19,"QB,19","RB,13","WR,1","TE,2","LT,14","LG,22","C,21","LG,14","RT,20","WR,10","WR,6"
19,"SAF,17","SAF,9","LB,15","LB,3","LB,5","LB,7","DE,12","DT,11","DT,8","DE,4","CB,18"
20,"QB,2","RB,1","WR,19","TE,10","LT,12","LG,3","C,14","RG,8","RT,4",,
20,"SAF,18","LB,11","LB,5","LB,6","DE,9","DE,15","DT,15","DE,7",,,
21,"QB,16","RB,3","WR,1","WR,2","LT,6","LG,21","C,17","RG,19","RT,22","WR,7","WR,8"
21,"SS,12","FS,18","CB,9","CB,10","LB,11","CB,5","CB,14","CB,13","DE,15","DT,20","DE,4"
22,"QB,10","RB,5","WR,11","RT,12","RG,1","C,[?]","LG,6","LT,4",,,
22,"LB,2","DE,13","DT,9","DE,8","LB,7","LB,3",,,,,
23,"QB,10","RB,7","WR,4","WR,14","LT,19","LG,16","C,15","RG,[?]","RT,17","WR,9","WR,2"
23,"FS,3","SS,11","CB,5","CB,1","LB,12","LB,8","LB,13","CB,6",,,
24,"QB,5","RB,15","RT,12","LG,10","C,14","LG,11","LT,8","WR,9,17",,,
24,"SAF,7","LB,3","LB,4","DE,2","DT,13","DE,6","CB,4",,,,
25,"QB,4","RB,7","HB,9","WR,1","LT,22","LG,18","C,14","RG,21","RT,20","WR,5","WR,2"
25,"FS,16","CB,13","CB,17","CB,15","LB,8","LB,10","CB,12","DE,19","DT,11","DT,6","DE,3"
26,"QB,1","RB,10","RT,14","RG,11","C,9","LG,5","LT,13","HB,4","WR,17",,
26,"SAF,3","LB,6","LB,2","DE,7","DT,12","DE,8",,,,,
27,"QB,11","LB,10","WR,1","WR,3","LT,8","LG,16","C,17","RG,22","RT,21","TE-Y,18","TE-F,19"
27,"FS,5","SS,13","LB,22","LB,14","LB,20","CB,15","CB,4","DE,9","DT,7","DT,2","DE,6"
28,"QB,10","RB,7","TE-F,6","TE-Y,[?]","RT,4","RG,[?]","C,5","LG,13","LT,12","WR,[?]","WR,[?]"
28,"SAF,3","LB,2","LB,9","DT,[?]","DT,3","DE,1",,,,,
29,"QB,18","RB,2","WR,10","WR,9","LT,15","LG,21","C,6","RG,17","RT,22","TE-Y,4","TE-F,1"
29,"FS,8","SS,13","CB,12","CB,16","LB,20","LB,19","CB,3","DE,5","DT,7","DT,14","DE,11"
30,"QB,9","RB,8","LT,5","LG,16","C,18","RG,11","RT,10","TE,13","TE,7",,
30,"FS,6","SS,3","LB,17","LB,12","CB,1","DE,4","DT,15","DT,14","DE,2",,
