Video Name:,Post10to15,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,
1,"QB,11","RB,10","WR1,18","WR2,7","WR3,0","LT,19","LG,16","C,18","RG,21","RT,20","TE,6",
1,"DE1,14","DT,12","DE2,8","OLB,2","LB1,9","LB2,4","SAF,13","CB1,1","CB2,17","CB3,5","SAF,3",
3,"QB,16","RB,12","HB,10","WR1,1","WR2,0","WR3,4","LT,13","LG,21","C,15","RG,18","RT,20",
3,"DE1,2","DT1,19","DT2,8","DE2,3","LB1,11","LB2,5","CB1,7","CB2,6","CB3,17","SAF1,9","SAF2,14",
5,"QB,11","RB,4","WR1,0","WR2,3","WR3,7","LT,14","LG,16","C,19","RG,17","RT,21","TE,20",
5,"DE1,1","DT1,10","DT2,8","DE2,9","LB1,15","LB2,12","CB1,5","CB2,6","CB3,18","SAF1,2","SAF2,13",
7,"QB,8","RB,7","WR1,0","WR2,3","WR3,2","LT,19","LG,20","C,16","RG,21","RT,17","TE,14",
7,"DE1,10","DT1,18","DT2,13","DE2,4","LB1,11","LB2,12","CB1,1","CB2,15","CB3,9","SAF1,5","SAF2,6",
9,"QB,8","RB,14","WR1,2","WR2,6","WR3,5","LT,9","LG,18","C,17","RG,20","RT,21","TE,19",
9,"DE1,0","DT1,1","DT2,3","DE2,12","LB1,11","LB2,4","CB1,7","CB2,15","CB3,16","SAF1,13","SAF2,10",
11,"QB,12","RB,5","WR1,8","WR2,2","WR3,1","WR4,0","LT,20","LG,19","C,18","RG,9","RT,6",
11,"DE1,7","DT,10","DE2,21","OLB1,4","OLB2,15","LB1,14","LB2,11","CB1,17","CB2,3","SAF1,16","SAF2,13",
13,"QB,15","RB,12","WR1,2","WR2,0","LT,14","LG,20","C,21","RG,19","RT,4","TE,16",,
13,"DE1,13","DT1,18","DT2,16","DE2,10","LB1,17","LB2,9","LB3,8","CB1,11","CB2,7","CB3,3","CB4,5",
15,"QB,7","RB,4","WR1,0","WR2,6","WR3,3","LT,1","LG,13","C,21","RG,19","RT,18",,
15,"DE1,16","DT1,11","DT2,10","DE2,5","LB1,20","LB2,2","CB1,9","CB2,17","CB3,14","SAF1,15","SAF2,12",
17,"QB,16","RB,15","WR1,0","WR2,3","WR3,8","WR4,4","LT,5","LG,19","C,12","RG,18","RT,20",
17,"DE1,2","DT,6","DE2,1","LB1,9","LB2,14","CB1,10","CB2,13","CB3,11","SAF1,7","SAF2,21","SAF3,17",
19,"QB,9","RB,5","WR1,3","WR2,8","WR3,6","LT,13","LG,[?]","C,14","RG,[?]","RT,[?]","TE,12",
19,"DE1,[?]","DT1,[?]","DT2,[?]","DE2,[?]","LB1,10","LB2,11","CB1,1","CB2,0","CB3,7","SAF1,2","SAF2,4",
21,"QB,12","RB,13","FB,9","WR1,6","WR2,2","WR3,0","LT,11","LG,19","C,20","RG,21","RT,8",
21,"DE1,4","DT,5","DE2,1","LB1,14","LB2,7","LB3,3","SAF,18","CB1,15","CB2,10","CB3,16","CB4,17",
23,"QB,12","RB,2","FB,5","WR1,1","WR2,3","WR3,9","LT,10","LG,21","C,20","RG,17","RT,8",
23,"DE1,4","DT1,15","DT2,18","DE2,19","LB1,7","LB2,14","CB1,0","CB2,6","CB3,11","SAF1,16","SAF2,13",
25,"QB,7","RB,16","WR1,10","WR2,2","WR3,0","LT,19","LG,20","C,15","RG,17","RT,18","TE,6",
25,"DE1,4","DT,3","DE2,8","LB1,9","LB2,11","CB1,12","CB2,14","CB3,1","SAF1,13","SAF2,5",,
27,"QB,16","RB,19","WR1,11","WR2,13","WR3,4","WR4,0","LT,15","LG,21","C,18","RG,20","RT,17",
27,"DE1,2","DT,0","DE2,3","LB1,9","LB2,8","CB1,5","CB2,7","CB3,1","CB4,14","SAF1,6","SAF2,12",
29,"QB,15","RB,7","WR1,3","WR2,4","WR3,2","WR4,0","LT,1","LG,11","C,21","RG,16","RT,6",
29,"DE1,5","DT1,14","DT2,18","DE2,13","LB1,17","LB2,20","LB3,19","CB1,9","CB2,12","CB3,10","CB4,8",
31,"QB,10","RB,12","WR1,3","WR2,0","WR3,5","WR4,2","LT,6","LG,7","C,20","RG,18","RT,13",
31,"DE1,17","DT1,9","DT2,4","DE2,1","LB1,19","LB2,21","CB1,11","CB2,14","CB3,8","SAF1,16","SAF2,15",
33,"QB,17","RB,16","WR1,11","WR2,10","WR3,0","WR4,2","LT,21","LG,19","C,13","RG,18","RT,6",
33,"DE1,5","DT,4","DE2,1","LB1,8","LB2,9","SAF,14","CB1,20","CB2,7","CB3,3","CB4,12","SAF,15",
35,"QB,13","RB,16","WR1,1","WR2,3","WR3,6","LT,14","LG,18","C,12","RG,21","RT,20","TE,2",
