Video Name:,JetSweep_,,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,,
1,"QB,11","RB,19","WR1,6","WR2,4","LT,21","LG,18","C,15","RG,20","RT,14","TE1,3","TE2,6",,
1,"DE1,1","DT1,9","DT2,17","DE2,7","LB1,2","LB2,13","CB1,0","CB2,12","SAF1,8","SAF2,5",,,
3,"QB,15","RB,21","WR1,2","WR2,3","WR3,0","LT,18","LG,16","C,12","RG,19","RT,17","TE,11",,
3,"DE1,5","DT1,16","DT2,9","DE2,4","LB1,8","LB2,11","CB1,7","CB2,13","CB3,14","CB4,22","SAF,10",,
5,"QB,7","RB,5","WR1,1","WR2,2","WR3,0","LT,14","LG,13","C,18","RG,21","RT,20","TE,10",,
5,"DE1,3","DT1,16","DT2,19","DE2,8","LB1,15","LB2,11","CB1,9","CB2,12","CB3,4","SAF1,17","SAF2,6",,
7,"QB,13","RB,8","WR1,0","WR2,2","WR3,3","LT,5","LG,15","C,17","RG,19","RT,21","TE,20",,
7,"DE1,1","DT1,7","DT2,9","DE2,14","LB1,10","LB2,12","CB1,6","CB2,4","CB3,11","SAF1,16","SAF2,18",,
9,"QB,14","RB,17","WR1,4","WR2,5","WR3,15","LT,9","LG,19","C,10","RG,12","RT,20","TE,21",,
9,"DE1,2","DT,6","DE2,3","OLB1,4","OLB2,10","LB1,7","LB2,13","SAF,11","CB1,16","CB2,18","SAF,9",,
11,"QB,21","RB,11","WR1,13","WR2,6","WR3,4","LT,17","LG,20","C,18","RG,19","RT,16","TE,12",,
11,"DE1,5","DT1,0","DT2,3","DE2,11","LB1,10","LB2,9","CB1,14","CB2,15","SAF1,7","SAF2,2",,,
13,"QB,13","RB,14","WR1,6","WR2,1","WR3,0","LT,20","LG,16","C,11","RG,17","RT,12","TE,3",,
13,"DE1,21","DT1,4","DT2,15","DE2,19","LB1,18","LB2,9","CB1,5","CB2,7","CB3,2","SAF1,10","SAF2,8",,
15,"QB,10","RB,8","WR1,3","WR2,7","LT,21","LG,19","C,14","RG,16","RT,20","TE1,11","TE2,18",,
15,"DE1,12","DT1,15","DT2,5","DE2,0","OLB,1","LB1,9","LB2,4","CB1,6","CB2,13","SAF1,2","SAF2,17",,
17,"QB,18","RB,8","WR1,4","WR2,16","LT,9","LG,19","C,20","RG,21","RT,12","TE,21",,,
17,"DE1,7","DT1,14","DT2,13","DE2,17","LB1,10","LB2,6","CB1,3","CB2,5","CB3,15","SAF1,0","SAF2,11",,
19,"QB,15","RB,9","WR1,0","WR2,17","LT,19","LG,21","C,14","RG,12","RT,13","TE1,11","TE2,4",,
19,"DE1,7","DT1,8","DT2,3","DE2,1","LB1,2","LB2,10","CB1,18","CB2,20","CB3,6","SAF1,16","SAF2,5",,
21,"QB,8","RB,5","WR1,0","WR2,1","LT,21","LG,15","C,13","RG,20","RT,18","TE1,10","TE2,11",,
21,"DE1,3","DT1,2","DT2,9","DE2,4","OLB,6","LB1,15","LB2,16","SAF,17","CB1,12","CB2,7","SAF,14",,
23,"QB,2","RB1,8","RB2,10","WR1,0","WR2,1","LT,6","LG,20","C,17","RG,21","RT,18","TE,11",,
23,"DE1,9","DT1,16","DT2,13","DE2,7","OLB,4","LB,14","SAF1,5","SAF2,11","CB1,3","CB2,12","SAF,15",,
