Video Name:,WRSlowScreens,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,
1,"QB,16","RB,18","WR1,0","WR2,4","WR3,3","LT,15","LG,19","C,22","RG,20","RT,17","TE,5",
1,"DE1,14","DT1,12","DT2,8","DE2,15","LB1,1","LB2,7","CB1,6","CB2,9","CB3,12","SAF1,11","SAF2,2",
2,"QB,11","RB,3","LT,1","LG,7","C,2","RG,5","RT,9","TE,8",,,,
2,"DE1,10","DT1,13","DT2,14","DE2,12","LB1,0","LB2,4","SAF,6",,,,,
13,"QB,13","RB,11","WR1,19","WR2,14","WR3,0","WR4,2","LT,20","LG,21","C,1","RG,15","RT,18","TE,9"
13,"DE1,4","DT1,8","DT2,12","DE2,6","LB1,17","LB2,7","CB1,10","CB2,1","CB3,3","CB4,5","SAF,16",
14,"QB,12","RB,3","LT,1","LG,5","C,4","RG,6","RT,7",,,,,
14,"DE1,8","DT1,13","DT2,10","DE2,2","LB1,11","LB2,0","SAF,9",,,,,
23,"QB,13","RB,8","WR1,1","WR2,2","LT,21","LG,17","C,18","RG,20","RT,11","TE1,3","TE2,6",
23,"DE1,17","DT,16","DE2,0","LB1,14","LB2,12","LB3,4","CB1,10","CB2,7","CB3,9","CB4,5","CB5,15",
24,"QB,2","RB,4","LT,6","LG,12","C,15","RG,1","RT,8","TE1,3","TE2,0",,,
24,"DE1,14","DT,16","DE2,7","LB1,10","LB2,9","LB3,13","CB,11","SAF1,17","SAF2,5",,,
25,"QB,15","RB,12","WR1,3","WR2,4","WR3,8","WR4,0","LT,7","LG,20","C,19","RG,21","RT,14",
25,"DE1,6","DT1,9","DT2,5","DE2,1","LB1,13","LB2,16","CB1,18","CB2,17","CB3,4","CB4,2","SAF,10",
26,"QB,6","RB,8","LT,11","LG,10","C,5","RG,4","RT,9",,,,,
26,"DE1,0","DT1,13","DT2,12","DE2,2","LB1,1","LB2,3","SAF,7",,,,,
29,"QB,20","RB,8","WR1,4","WR2,13","LT,18","LG,21","C,6","RG,19","RT,16","TE1,7","TE2,11",
29,"DE1,0","DT1,3","DT2,2","DE2,5","LB1,1","LB2,10","CB1,15","CB2,12","CB3,17","SAF1,14","SAF2,9",
30,"QB,17","RB,6","WR,8","LT,16","LG,18","C,10","RG,2","RT,3","TE1,15","TE2,9",,
30,"DE1,11","DT1,5","DT2,12","DE2,14","LB1,4","LB2,1","CB1,0","CB2,13","CB3,7",,,
37,"QB,18","RB,7","WR1,9","WR2,5","WR3,1","WR4,0","LT,19","LG,20","C,12","RG,21","RT,15",
37,"DE1,8","DT1,3","DT2,6","DE2,2","LB1,13","LB2,10","CB1,17","CB2,14","CB3,11","CB4,4","SAF,16",
38,"QB,6","RB,7","WR,8","LT,3","LG,5","C,11","RG,10","RT,2",,,,
38,"DE1,[?]","DT1,13","DT2,14","DE2,9","LB1,0","LB2,1","CB,12","SAF,4",,,,
39,"QB,18","RB,17","WR1,11","WR2,2","WR3,0","LT,21","LG,20","C,14","RG,13","RT,7","TE,4",
39,"DE1,6","DT1,1","DT2,3","DE2,8","LB1,15","LB2,9","CB1,16","CB2,19","CB3,10","SAF1,15","SAF2,12",
40,"QB,12","RB,10","LT,5","LG,6","C,11","RG,13","RT,9","TE,14",,,,
40,"DE1,3","DT1,2","DT2,[?]","DE2,4","LB1,0","LB2,7","SAF1,1","SAF2,8",,,,
41,"QB,20","RB,16","WR1,1","WR2,2","WR3,3","WR4,0","LT,9","LG,17","C,21","RG,19","RT,8",
41,"DE1,7","DT1,14","DT2,15","DE2,6","LB1,5","LB2,10","CB1,18","CB2,11","CB3,10","CB4,4","SAF1,13","SAF2,12"
42,"QB,7","RB,1","LT,2","LG,10","C,11","RG,6","RT,5",,,,,
42,"DE1,8","DT1,12","DT2,[?]","DE2,9","LB1,3","LB2,4","SAF,0",,,,,
43,"QB,12","RB,4","WR1,1","WR2,15","WR3,20","LT,17","LG,18","C,14","RG,21","RT,19","TE,16",
43,"DE1,3","DT1,9","DT2,5","DE2,0","LB1,6","LB2,4","LB3,10","CB1,2","CB2,13","CB3,7","SAF,8",
44,"QB,11","RB,14","LT,4","LG,15","C,6","RG,12","RT,5","TE,13",,,,
44,"DE1,10","DT1,7","DT2,3","DE2,8","LB1,1","LB2,2","LB3,0","SAF,9",,,,
45,"QB,14","RB,13","WR1,0","WR2,2","WR3,12","LT,17","LG,20","C,21","RG,15","RT,9","TE,8",
45,"DE1,11","DT,19","DE2,18","LB1,5","LB2,6","LB3,7","CB1,1","CB2,10","SAF1,3","SAF2,4","SAF3,16",
53,"QB,10","RB,11","WR1,2","WR2,1","WR3,0","LT,5","LG,8","C,21","RG,20","RT,14","TE,15",
53,"DE1,6","DT1,4","DT2,12","DE2,17","LB1,16","LB2,9","LB3,13","CB1,7","CB2,19","CB3,3","SAF,18",
54,"QB,14","RB,8","LT,0","LG,2","C,[?]","RG,3","RT,7","TE,9",,,,
54,"DE1,11","DT1,13","DT2,5","DE2,1","LB1,10","LB2,12","LB3,4","SAF,6",,,,
