video_name,video_id,source_column,action,start_frame,actor_track_id,target_kind,play_tag,result_tag,result_frame,notes
JetSweep_69,69,End of Play,Action_PlayEnd,0,,global_event,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,10,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,11,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,13,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,16,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,19,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,2,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,4,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,7,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Pre Snap_group_ALL,Action_PreSnap,0,8,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Jet Motion,Action_JetMotion,33,16,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Ball Snap,Action_BallSnap,34,4,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Lead Block,Action_LeadBlock,35,11,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Zone Block_group_OL,Action_ZoneBlock,43,13,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Zone Block_group_OL,Action_ZoneBlock,43,19,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Zone Block_group_OL,Action_ZoneBlock,43,2,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Zone Block_group_OL,Action_ZoneBlock,43,4,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Zone Block_group_OL,Action_ZoneBlock,43,7,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Snap Receive,Action_SnapReceive,49,8,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Toss,Action_Toss,55,8,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Ball Carry,Action_BallCarry,65,16,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,Block Second Level,Action_BlockSecondLevel,67,2,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,End of OL Block_group_OL,Action_None,100,13,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,End of OL Block_group_OL,Action_None,100,19,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,End of OL Block_group_OL,Action_None,100,2,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,End of OL Block_group_OL,Action_None,100,4,track_id,Play_Run_JetSweep,Result_Tackle,,
JetSweep_69,69,End of OL Block_group_OL,Action_None,100,7,track_id,Play_Run_JetSweep,Result_Tackle,,
